consumo_kwh,cantidad_equipos,horas_alto_consumo,tipo_inmueble,uso_horario_pico,categoria
182,6,3,Casa,True,Moderado
515,5,12,Local,True,Ineficiente
940,21,13,Apartamento,True,Moderado
350,5,13,Casa,False,Ineficiente
186,19,7,Casa,True,Moderado
151,5,10,Local,False,Moderado
780,18,5,Casa,True,Moderado
100,13,4,Casa,False,Moderado
694,18,13,Apartamento,False,Moderado
201,11,9,Casa,False,Moderado
546,2,12,Casa,True,Ineficiente
294,19,11,Local,False,Moderado
410,19,10,Local,False,Moderado
538,15,13,Local,False,Moderado
167,16,12,Local,False,Moderado
452,13,6,Apartamento,False,Moderado
179,5,10,Local,True,Moderado
743,4,3,Casa,False,Moderado
210,21,4,Apartamento,False,Moderado
741,13,8,Oficina,True,Ineficiente
388,8,8,Casa,False,Moderado
849,12,7,Casa,True,Moderado
423,2,7,Casa,False,Moderado
571,7,3,Casa,False,Moderado
493,16,11,Casa,True,Moderado
885,16,7,Local,False,Moderado
465,20,5,Oficina,True,Moderado
271,12,13,Casa,True,Moderado
356,3,4,Casa,True,Moderado
240,15,12,Casa,False,Moderado
539,3,3,Local,True,Moderado
393,5,2,Casa,False,Moderado
101,18,12,Casa,False,Moderado
332,4,12,Casa,True,Ineficiente
827,14,6,Casa,False,Moderado
936,10,3,Casa,False,Moderado
640,8,3,Local,False,Moderado
554,16,8,Apartamento,True,Moderado
138,12,9,Apartamento,True,Moderado
590,21,11,Casa,True,Moderado
761,3,9,Apartamento,True,Ineficiente
555,16,5,Apartamento,True,Moderado
779,15,2,Casa,True,Moderado
862,21,12,Apartamento,True,Moderado
269,12,8,Casa,True,Moderado
766,4,2,Local,True,Moderado
642,18,12,Casa,True,Moderado
646,13,5,Oficina,False,Moderado
323,16,9,Casa,True,Moderado
911,17,3,Apartamento,False,Moderado
584,6,7,Apartamento,True,Moderado
210,21,7,Apartamento,False,Moderado
564,7,13,Casa,True,Ineficiente
898,20,10,Casa,False,Moderado
726,6,6,Apartamento,False,Moderado
100,4,11,Casa,True,Moderado
920,2,5,Casa,False,Moderado
246,7,6,Apartamento,False,Moderado
353,16,13,Apartamento,True,Moderado
467,3,13,Casa,False,Ineficiente
680,4,11,Casa,False,Ineficiente
395,18,12,Casa,False,Moderado
93,13,6,Apartamento,True,Moderado
321,19,9,Apartamento,False,Moderado
856,16,11,Local,False,Moderado
425,13,13,Oficina,False,Moderado
644,17,9,Casa,False,Moderado
419,9,3,Casa,True,Moderado
171,15,8,Casa,False,Moderado
446,18,9,Casa,True,Moderado
534,9,12,Oficina,True,Ineficiente
507,16,7,Apartamento,False,Moderado
588,15,6,Casa,False,Moderado
855,19,12,Casa,True,Moderado
114,21,10,Apartamento,False,Moderado
285,8,4,Apartamento,True,Moderado
160,4,13,Casa,True,Moderado
641,13,11,Oficina,False,Moderado
467,4,5,Apartamento,True,Moderado
81,21,10,Casa,True,Moderado
469,15,7,Local,True,Moderado
645,16,9,Casa,False,Moderado
185,15,8,Oficina,True,Moderado
851,8,12,Oficina,True,Ineficiente
901,18,3,Apartamento,False,Moderado
556,13,4,Apartamento,False,Moderado
782,21,2,Casa,True,Moderado
481,5,10,Oficina,False,Ineficiente
809,10,8,Apartamento,True,Ineficiente
635,7,2,Apartamento,False,Moderado
241,17,4,Oficina,True,Moderado
281,3,5,Oficina,True,Moderado
349,9,5,Local,True,Moderado
942,12,6,Casa,True,Moderado
895,14,4,Oficina,False,Moderado
350,18,4,Apartamento,True,Moderado
535,9,2,Oficina,True,Moderado
541,19,8,Apartamento,False,Moderado
806,19,12,Casa,False,Moderado
331,15,11,Casa,True,Moderado
781,16,2,Apartamento,True,Moderado
375,7,3,Apartamento,True,Moderado
804,12,5,Casa,True,Moderado
799,14,5,Apartamento,True,Moderado
828,2,6,Casa,False,Moderado
417,7,12,Local,False,Ineficiente
132,10,3,Casa,True,Eficiente
871,9,5,Casa,True,Moderado
296,12,2,Casa,True,Eficiente
843,20,3,Casa,True,Moderado
267,10,2,Casa,True,Eficiente
459,18,11,Casa,False,Moderado
572,13,11,Casa,False,Moderado
120,15,5,Oficina,False,Moderado
236,16,5,Local,False,Moderado
94,17,8,Casa,False,Moderado
892,21,11,Oficina,False,Moderado
144,2,12,Casa,True,Ineficiente
936,11,12,Apartamento,False,Ineficiente
918,9,10,Apartamento,False,Ineficiente
600,19,10,Casa,True,Moderado
423,2,6,Casa,False,Moderado
208,3,11,Casa,True,Ineficiente
727,2,2,Casa,False,Moderado
551,2,2,Apartamento,False,Moderado
142,10,7,Casa,False,Moderado
218,14,3,Casa,False,Eficiente
578,2,9,Casa,False,Ineficiente
672,14,10,Casa,False,Moderado
471,21,5,Apartamento,False,Moderado
754,8,6,Casa,False,Moderado
498,3,12,Local,False,Ineficiente
368,7,9,Casa,False,Moderado
458,8,4,Casa,False,Moderado
852,15,6,Apartamento,False,Moderado
569,19,4,Casa,False,Moderado
310,16,13,Apartamento,False,Moderado
120,3,11,Apartamento,True,Moderado
107,11,4,Casa,True,Moderado
214,13,4,Casa,True,Moderado
280,18,13,Casa,True,Moderado
919,9,8,Casa,True,Ineficiente
859,12,8,Casa,False,Ineficiente
112,4,8,Casa,True,Moderado
127,7,11,Casa,True,Moderado
582,10,9,Apartamento,False,Ineficiente
486,7,6,Apartamento,False,Moderado
653,10,6,Apartamento,False,Moderado
807,8,5,Casa,False,Moderado
884,10,8,Casa,False,Ineficiente
178,19,11,Local,True,Moderado
763,13,5,Apartamento,False,Moderado
805,9,3,Local,False,Moderado
626,9,5,Casa,True,Moderado
818,19,9,Apartamento,True,Moderado
692,21,10,Apartamento,False,Moderado
541,16,4,Casa,True,Moderado
722,8,8,Casa,False,Ineficiente
848,12,13,Apartamento,True,Ineficiente
84,21,10,Casa,False,Moderado
297,17,12,Casa,False,Moderado
582,5,5,Apartamento,True,Moderado
846,7,11,Oficina,True,Ineficiente
